Boss,Character,Profile,Floor,Seed,Result,Virtual seconds,Player HP %,Abilities,Normal damage %,Heavy damage %,DoT damage %,RoomTick damage %
"Страж","jennifer",poor,1,1,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,2,Defeat,10.02,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,3,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,4,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,5,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,6,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,7,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,8,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,9,Defeat,10.02,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,10,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,11,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,12,Defeat,10.02,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,13,Defeat,10.02,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,14,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,15,Defeat,10.02,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,16,Defeat,9.18,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
"Страж","jennifer",poor,1,17,Defeat,10.02,0.00,"Страж поднимает щит:1; Тяжёлый замах:1",100.00,0.00,0.00,0.00
