Boss,Character,Profile,Floor,Runs,Wins,Win rate %,Average seconds,Average player HP %
"Страж","jennifer",poor,1,30,0,0.00,9.52,0.00
"Страж","jennifer",mid,1,30,30,100.00,11.06,100.00
"Страж","jennifer",rich,1,30,30,100.00,1.00,100.00
"Страж","violet",poor,1,30,0,0.00,3.01,0.00
"Страж","violet",mid,1,30,29,96.67,16.57,80.67
"Страж","violet",rich,1,30,30,100.00,1.74,100.00
"Страж","sasha",poor,1,30,0,0.00,3.75,0.00
"Страж","sasha",mid,1,30,30,100.00,5.90,83.43
"Страж","sasha",rich,1,30,30,100.00,2.44,98.20
"Страж","jennifer",poor,2,30,0,0.00,12.27,0.00
"Страж","jennifer",mid,2,30,30,100.00,12.05,100.00
"Страж","jennifer",rich,2,30,30,100.00,1.42,100.00
"Страж","violet",poor,2,30,0,0.00,4.93,0.00
"Страж","violet",mid,2,30,30,100.00,17.18,96.33
"Страж","violet",rich,2,30,30,100.00,1.93,100.00
"Страж","sasha",poor,2,30,0,0.00,5.05,0.00
"Страж","sasha",mid,2,30,30,100.00,6.69,76.07
"Страж","sasha",rich,2,30,30,100.00,2.36,97.65
"Страж","jennifer",poor,3,30,0,0.00,14.15,0.00
"Страж","jennifer",mid,3,30,30,100.00,13.19,100.00
"Страж","jennifer",rich,3,30,30,100.00,1.68,100.00
"Страж","violet",poor,3,30,0,0.00,6.29,0.00
"Страж","violet",mid,3,30,30,100.00,17.39,97.48
"Страж","violet",rich,3,30,30,100.00,2.13,100.00
"Страж","sasha",poor,3,30,0,0.00,6.36,0.00
"Страж","sasha",mid,3,30,30,100.00,8.29,69.79
"Страж","sasha",rich,3,30,30,100.00,2.71,97.56
"Страж","jennifer",poor,4,30,0,0.00,15.13,0.00
"Страж","jennifer",mid,4,30,30,100.00,14.44,100.00
"Страж","jennifer",rich,4,30,30,100.00,1.97,100.00
"Страж","violet",poor,4,30,0,0.00,7.21,0.00
"Страж","violet",mid,4,30,30,100.00,17.82,93.00
"Страж","violet",rich,4,30,30,100.00,2.45,100.00
"Страж","sasha",poor,4,30,0,0.00,6.90,0.00
"Страж","sasha",mid,4,30,30,100.00,9.45,58.94
"Страж","sasha",rich,4,30,30,100.00,3.37,96.80
"Страж","jennifer",poor,5,30,0,0.00,15.96,0.00
"Страж","jennifer",mid,5,30,30,100.00,16.07,100.00
"Страж","jennifer",rich,5,30,30,100.00,2.37,100.00
"Страж","violet",poor,5,30,0,0.00,7.55,0.00
"Страж","violet",mid,5,30,30,100.00,19.88,89.78
"Страж","violet",rich,5,30,30,100.00,2.68,100.00
