Build ID,Character,Archetype,Trial,Tier,Seed,Result,Virtual time,HP left,Rank
"jennifer_wall_il1","jennifer","shield-wall","brass_executioner","B",10101,Victory,14.120,283.29,B
"jennifer_wall_il1","jennifer","shield-wall","brass_executioner","B",10102,Victory,12.060,276.17,B
"jennifer_wall_il1","jennifer","shield-wall","brass_executioner","B",10103,Victory,12.840,277.44,B
"jennifer_wall_il1","jennifer","shield-wall","thousand_handed_guardian","B",10201,Victory,12.060,325.00,B
"jennifer_wall_il1","jennifer","shield-wall","thousand_handed_guardian","B",10202,Victory,12.060,325.00,B
"jennifer_wall_il1","jennifer","shield-wall","thousand_handed_guardian","B",10203,Victory,14.120,322.21,B
"jennifer_wall_il1","jennifer","shield-wall","ashen_bastion","B",10301,Defeat,51.060,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","ashen_bastion","B",10302,Defeat,50.360,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","ashen_bastion","B",10303,Defeat,51.780,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","brass_executioner","A",20101,Defeat,12.000,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","brass_executioner","A",20102,Defeat,12.000,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","brass_executioner","A",20103,Defeat,12.000,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","thousand_handed_guardian","A",20201,Victory,16.680,146.26,B
"jennifer_wall_il1","jennifer","shield-wall","thousand_handed_guardian","A",20202,Defeat,18.060,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","thousand_handed_guardian","A",20203,Defeat,18.340,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","ashen_bastion","A",20301,Defeat,35.840,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","ashen_bastion","A",20302,Defeat,35.080,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","ashen_bastion","A",20303,Defeat,35.080,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","brass_executioner","S",30101,Defeat,9.260,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","brass_executioner","S",30102,Defeat,10.000,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","brass_executioner","S",30103,Defeat,9.260,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","thousand_handed_guardian","S",30201,Defeat,15.840,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","thousand_handed_guardian","S",30202,Defeat,16.400,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","thousand_handed_guardian","S",30203,Defeat,16.687,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","ashen_bastion","S",30301,Defeat,23.280,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","ashen_bastion","S",30302,Defeat,22.540,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","ashen_bastion","S",30303,Defeat,23.280,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","brass_executioner","S+",40101,Defeat,4.000,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","brass_executioner","S+",40102,Defeat,4.000,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","brass_executioner","S+",40103,Defeat,4.000,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","thousand_handed_guardian","S+",40201,Defeat,8.620,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","thousand_handed_guardian","S+",40202,Defeat,9.180,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","thousand_handed_guardian","S+",40203,Defeat,8.620,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","ashen_bastion","S+",40301,Defeat,15.400,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","ashen_bastion","S+",40302,Defeat,15.400,0.00,B
"jennifer_wall_il1","jennifer","shield-wall","ashen_bastion","S+",40303,Defeat,14.693,0.00,B
"jennifer_wall_il4","jennifer","shield-wall","brass_executioner","B",10101,Victory,9.260,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","brass_executioner","B",10102,Victory,8.040,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","brass_executioner","B",10103,Victory,8.040,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","thousand_handed_guardian","B",10201,Victory,10.500,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","thousand_handed_guardian","B",10202,Victory,9.260,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","thousand_handed_guardian","B",10203,Victory,10.020,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","ashen_bastion","B",10301,Victory,24.120,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","ashen_bastion","B",10302,Victory,24.020,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","ashen_bastion","B",10303,Victory,22.520,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","brass_executioner","A",20101,Victory,13.600,118.18,A
"jennifer_wall_il4","jennifer","shield-wall","brass_executioner","A",20102,Victory,13.600,97.94,A
"jennifer_wall_il4","jennifer","shield-wall","brass_executioner","A",20103,Victory,16.020,158.07,A
"jennifer_wall_il4","jennifer","shield-wall","thousand_handed_guardian","A",20201,Victory,13.600,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","thousand_handed_guardian","A",20202,Victory,12.060,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","thousand_handed_guardian","A",20203,Victory,14.820,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","ashen_bastion","A",20301,Defeat,47.200,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","ashen_bastion","A",20302,Defeat,48.580,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","ashen_bastion","A",20303,Defeat,45.140,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","brass_executioner","S",30101,Defeat,12.980,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","brass_executioner","S",30102,Defeat,14.820,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","brass_executioner","S",30103,Defeat,15.000,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","thousand_handed_guardian","S",30201,Victory,16.080,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","thousand_handed_guardian","S",30202,Victory,16.080,348.00,A
"jennifer_wall_il4","jennifer","shield-wall","thousand_handed_guardian","S",30203,Victory,16.687,350.00,A
"jennifer_wall_il4","jennifer","shield-wall","ashen_bastion","S",30301,Defeat,34.293,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","ashen_bastion","S",30302,Defeat,32.220,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","ashen_bastion","S",30303,Defeat,32.960,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","brass_executioner","S+",40101,Defeat,8.000,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","brass_executioner","S+",40102,Defeat,8.000,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","brass_executioner","S+",40103,Defeat,7.420,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","thousand_handed_guardian","S+",40201,Defeat,12.500,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","thousand_handed_guardian","S+",40202,Defeat,13.353,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","thousand_handed_guardian","S+",40203,Defeat,13.353,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","ashen_bastion","S+",40301,Defeat,21.940,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","ashen_bastion","S+",40302,Defeat,22.660,0.00,A
"jennifer_wall_il4","jennifer","shield-wall","ashen_bastion","S+",40303,Defeat,21.200,0.00,A
"jennifer_wall_il8","jennifer","shield-wall","brass_executioner","B",10101,Victory,6.560,375.00,S
"jennifer_wall_il8","jennifer","shield-wall","brass_executioner","B",10102,Victory,6.560,375.00,S
"jennifer_wall_il8","jennifer","shield-wall","brass_executioner","B",10103,Victory,7.160,375.00,S
"jennifer_wall_il8","jennifer","shield-wall","thousand_handed_guardian","B",10201,Victory,8.040,375.00,S
"jennifer_wall_il8","jennifer","shield-wall","thousand_handed_guardian","B",10202,Victory,7.160,375.00,S
"jennifer_wall_il8","jennifer","shield-wall","thousand_handed_guardian","B",10203,Victory,8.040,375.00,S
