Build ID,Character,Archetype,Item level,HP,Armor,Magic shield,Weapons,Skills,Rank,Qualifying trial,Simulations,Error
"jennifer_wall_il1","jennifer","shield-wall",1,325.0,67.0,0.0,"Sword_Epic_BloodSword + Shield_Common_WoodenShield + Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience","Sturdy 5 + IAmTheWall 4 + Thorns 2 + CriticalHits 2 + Bleed 1",B,"brass_executioner",36,""
"jennifer_wall_il4","jennifer","shield-wall",4,350.0,90.8,0.0,"Sword_Epic_BloodSword + Shield_Common_WoodenShield + Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience","Sturdy 5 + IAmTheWall 4 + Thorns 2 + CriticalHits 2 + Bleed 1",A,"brass_executioner",36,""
"jennifer_wall_il8","jennifer","shield-wall",8,375.0,120.8,0.0,"Sword_Epic_BloodSword + Shield_Common_WoodenShield + Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience","Sturdy 5 + IAmTheWall 4 + Thorns 2 + CriticalHits 2 + Bleed 1",S,"brass_executioner",36,""
"jennifer_wall_il12","jennifer","shield-wall",12,400.0,150.8,0.0,"Sword_Epic_BloodSword + Shield_Common_WoodenShield + Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience","Sturdy 5 + IAmTheWall 4 + Thorns 2 + CriticalHits 2 + Bleed 1",S,"brass_executioner",36,""
"jennifer_wall_il15","jennifer","shield-wall",15,425.0,174.5,0.0,"Sword_Epic_BloodSword + Shield_Common_WoodenShield + Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience","Sturdy 5 + IAmTheWall 4 + Thorns 2 + CriticalHits 2 + Bleed 1",S+,"brass_executioner",36,""
"jennifer_dual_crit_il1","jennifer","dual-crit",1,310.0,36.5,0.0,"Sword_Epic_BloodSword + Prototype_ResonanceScimitar + Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might","Ambidexterity 5 + CriticalHits 4 + Bleed 3 + Freeze 1 + Evasion 1",S,"thousand_handed_guardian",36,""
"jennifer_dual_crit_il4","jennifer","dual-crit",4,320.0,48.5,0.0,"Sword_Epic_BloodSword + Prototype_ResonanceScimitar + Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might","Ambidexterity 5 + CriticalHits 4 + Bleed 3 + Freeze 1 + Evasion 1",S,"brass_executioner",36,""
"jennifer_dual_crit_il8","jennifer","dual-crit",8,330.0,64.5,0.0,"Sword_Epic_BloodSword + Prototype_ResonanceScimitar + Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might","Ambidexterity 5 + CriticalHits 4 + Bleed 3 + Freeze 1 + Evasion 1",S+,"brass_executioner",36,""
"jennifer_dual_crit_il12","jennifer","dual-crit",12,340.0,80.5,0.0,"Sword_Epic_BloodSword + Prototype_ResonanceScimitar + Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might","Ambidexterity 5 + CriticalHits 4 + Bleed 3 + Freeze 1 + Evasion 1",S+,"brass_executioner",36,""
"jennifer_dual_crit_il15","jennifer","dual-crit",15,350.0,92.5,0.0,"Sword_Epic_BloodSword + Prototype_ResonanceScimitar + Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might","Ambidexterity 5 + CriticalHits 4 + Bleed 3 + Freeze 1 + Evasion 1",S+,"brass_executioner",36,""
"jennifer_bleed_lightning_il1","jennifer","fast-bleed",1,310.0,36.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Prototype_LightningSpear + Sword_Epic_BloodSword","Bleed 5 + CriticalHits 3 + Freeze 3 + Ambidexterity 2 + Unyielding 1",S,"thousand_handed_guardian",36,""
"jennifer_bleed_lightning_il4","jennifer","fast-bleed",4,320.0,48.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Prototype_LightningSpear + Sword_Epic_BloodSword","Bleed 5 + CriticalHits 3 + Freeze 3 + Ambidexterity 2 + Unyielding 1",S,"brass_executioner",36,""
"jennifer_bleed_lightning_il8","jennifer","fast-bleed",8,330.0,64.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Prototype_LightningSpear + Sword_Epic_BloodSword","Bleed 5 + CriticalHits 3 + Freeze 3 + Ambidexterity 2 + Unyielding 1",S+,"brass_executioner",36,""
"jennifer_bleed_lightning_il12","jennifer","fast-bleed",12,340.0,80.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Prototype_LightningSpear + Sword_Epic_BloodSword","Bleed 5 + CriticalHits 3 + Freeze 3 + Ambidexterity 2 + Unyielding 1",S+,"brass_executioner",36,""
"jennifer_bleed_lightning_il15","jennifer","fast-bleed",15,350.0,92.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Prototype_LightningSpear + Sword_Epic_BloodSword","Bleed 5 + CriticalHits 3 + Freeze 3 + Ambidexterity 2 + Unyielding 1",S+,"brass_executioner",36,""
"jennifer_pendulum_il1","jennifer","slow-burst",1,325.0,60.2,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Prototype_Pendulum + Shield_Common_WoodenShield","CriticalHits 5 + IAmTheWall 4 + Sturdy 2 + Thorns 2 + Unyielding 1",A,"thousand_handed_guardian",36,""
"jennifer_pendulum_il4","jennifer","slow-burst",4,350.0,81.7,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Prototype_Pendulum + Shield_Common_WoodenShield","CriticalHits 5 + IAmTheWall 4 + Sturdy 2 + Thorns 2 + Unyielding 1",A,"brass_executioner",36,""
"jennifer_pendulum_il8","jennifer","slow-burst",8,375.0,108.7,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Prototype_Pendulum + Shield_Common_WoodenShield","CriticalHits 5 + IAmTheWall 4 + Sturdy 2 + Thorns 2 + Unyielding 1",S,"brass_executioner",36,""
"jennifer_pendulum_il12","jennifer","slow-burst",12,400.0,135.7,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Prototype_Pendulum + Shield_Common_WoodenShield","CriticalHits 5 + IAmTheWall 4 + Sturdy 2 + Thorns 2 + Unyielding 1",S+,"brass_executioner",36,""
"jennifer_pendulum_il15","jennifer","slow-burst",15,425.0,157.2,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Prototype_Pendulum + Shield_Common_WoodenShield","CriticalHits 5 + IAmTheWall 4 + Sturdy 2 + Thorns 2 + Unyielding 1",S+,"brass_executioner",36,""
"jennifer_spell_eater_il1","jennifer","anti-shield",1,310.0,36.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Prototype_SpellEater + Prototype_ResonanceScimitar","Ambidexterity 5 + CriticalHits 4 + Freeze 2 + Bleed 2 + Evasion 1",S,"thousand_handed_guardian",36,""
"jennifer_spell_eater_il4","jennifer","anti-shield",4,320.0,48.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Prototype_SpellEater + Prototype_ResonanceScimitar","Ambidexterity 5 + CriticalHits 4 + Freeze 2 + Bleed 2 + Evasion 1",S,"brass_executioner",36,""
"jennifer_spell_eater_il8","jennifer","anti-shield",8,330.0,64.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Prototype_SpellEater + Prototype_ResonanceScimitar","Ambidexterity 5 + CriticalHits 4 + Freeze 2 + Bleed 2 + Evasion 1",S+,"brass_executioner",36,""
"jennifer_spell_eater_il12","jennifer","anti-shield",12,340.0,80.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Prototype_SpellEater + Prototype_ResonanceScimitar","Ambidexterity 5 + CriticalHits 4 + Freeze 2 + Bleed 2 + Evasion 1",S+,"brass_executioner",36,""
"jennifer_spell_eater_il15","jennifer","anti-shield",15,350.0,92.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Prototype_SpellEater + Prototype_ResonanceScimitar","Ambidexterity 5 + CriticalHits 4 + Freeze 2 + Bleed 2 + Evasion 1",S+,"brass_executioner",36,""
"jennifer_cursed_berserker_il1","jennifer","cursed-speed",1,310.0,36.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Cursed_BerserkerAxe + Sword_Epic_BloodSword","Ambidexterity 5 + CriticalHits 4 + Bleed 2 + Evasion 2 + Unyielding 1",A,"brass_executioner",36,""
"jennifer_cursed_berserker_il4","jennifer","cursed-speed",4,320.0,48.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Cursed_BerserkerAxe + Sword_Epic_BloodSword","Ambidexterity 5 + CriticalHits 4 + Bleed 2 + Evasion 2 + Unyielding 1",S,"brass_executioner",36,""
"jennifer_cursed_berserker_il8","jennifer","cursed-speed",8,330.0,64.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Cursed_BerserkerAxe + Sword_Epic_BloodSword","Ambidexterity 5 + CriticalHits 4 + Bleed 2 + Evasion 2 + Unyielding 1",S,"brass_executioner",36,""
"jennifer_cursed_berserker_il12","jennifer","cursed-speed",12,340.0,80.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Cursed_BerserkerAxe + Sword_Epic_BloodSword","Ambidexterity 5 + CriticalHits 4 + Bleed 2 + Evasion 2 + Unyielding 1",S+,"brass_executioner",36,""
"jennifer_cursed_berserker_il15","jennifer","cursed-speed",15,350.0,92.5,0.0,"Helmet_Rare_SteelHelmet + Armor_Epic_EtherealArmor + Boots_Rare_SwiftBoots + Ring_Power + Ring_Speed + Accessory_Might + Cursed_BerserkerAxe + Sword_Epic_BloodSword","Ambidexterity 5 + CriticalHits 4 + Bleed 2 + Evasion 2 + Unyielding 1",S+,"brass_executioner",36,""
"jennifer_cursed_last_argument_il1","jennifer","cursed-hp",1,325.0,64.7,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Cursed_LastArgument + Shield_Common_WoodenShield","Sturdy 4 + IAmTheWall 4 + CriticalHits 3 + Thorns 2 + Bleed 1",A,"brass_executioner",36,""
"jennifer_cursed_last_argument_il4","jennifer","cursed-hp",4,350.0,87.7,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Cursed_LastArgument + Shield_Common_WoodenShield","Sturdy 4 + IAmTheWall 4 + CriticalHits 3 + Thorns 2 + Bleed 1",S,"thousand_handed_guardian",36,""
"jennifer_cursed_last_argument_il8","jennifer","cursed-hp",8,375.0,116.7,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Cursed_LastArgument + Shield_Common_WoodenShield","Sturdy 4 + IAmTheWall 4 + CriticalHits 3 + Thorns 2 + Bleed 1",S,"brass_executioner",36,""
"jennifer_cursed_last_argument_il12","jennifer","cursed-hp",12,400.0,145.7,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Cursed_LastArgument + Shield_Common_WoodenShield","Sturdy 4 + IAmTheWall 4 + CriticalHits 3 + Thorns 2 + Bleed 1",S+,"brass_executioner",36,""
"jennifer_cursed_last_argument_il15","jennifer","cursed-hp",15,425.0,168.7,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Cursed_LastArgument + Shield_Common_WoodenShield","Sturdy 4 + IAmTheWall 4 + CriticalHits 3 + Thorns 2 + Bleed 1",S+,"brass_executioner",36,""
"jennifer_balanced_il1","jennifer","balanced",1,325.0,59.0,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Sword_Epic_BloodSword + Prototype_ResonanceScimitar","Sturdy 3 + Ambidexterity 3 + CriticalHits 3 + Evasion 2 + Bleed 2",A,"brass_executioner",36,""
"jennifer_balanced_il4","jennifer","balanced",4,350.0,77.8,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Sword_Epic_BloodSword + Prototype_ResonanceScimitar","Sturdy 3 + Ambidexterity 3 + CriticalHits 3 + Evasion 2 + Bleed 2",S,"brass_executioner",36,""
"jennifer_balanced_il8","jennifer","balanced",8,375.0,101.2,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Sword_Epic_BloodSword + Prototype_ResonanceScimitar","Sturdy 3 + Ambidexterity 3 + CriticalHits 3 + Evasion 2 + Bleed 2",S,"brass_executioner",36,""
"jennifer_balanced_il12","jennifer","balanced",12,400.0,124.6,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Sword_Epic_BloodSword + Prototype_ResonanceScimitar","Sturdy 3 + Ambidexterity 3 + CriticalHits 3 + Evasion 2 + Bleed 2",S+,"brass_executioner",36,""
"jennifer_balanced_il15","jennifer","balanced",15,425.0,143.4,0.0,"Helmet_Epic_MidasCrown + Armor_Epic_EtherealArmor + Boots_Epic_ArmoredBoots + Ring_Armor + Ring_Health + Accessory_Resilience + Sword_Epic_BloodSword + Prototype_ResonanceScimitar","Sturdy 3 + Ambidexterity 3 + CriticalHits 3 + Evasion 2 + Bleed 2",S+,"brass_executioner",36,""
"violet_evasion_il1","violet","evasion-riposte",1,225.0,28.6,29.0,"Blade_Epic_MomentoMori + Blade_Rare_JaggedBlade + Hood_Epic_DuelistHood + Leather_Epic_EmbraceOfNight + Boots_Epic_ArmoredBoots + Ring_Agility + Ring_Speed + Accessory_Dexterity","Evasion 5 + SlipAway 5 + ByAThread 2 + EyeForAnEye 1 + Elimination 1",B,"brass_executioner",36,""
"violet_evasion_il4","violet","evasion-riposte",4,225.0,40.6,38.0,"Blade_Epic_MomentoMori + Blade_Rare_JaggedBlade + Hood_Epic_DuelistHood + Leather_Epic_EmbraceOfNight + Boots_Epic_ArmoredBoots + Ring_Agility + Ring_Speed + Accessory_Dexterity","Evasion 5 + SlipAway 5 + ByAThread 2 + EyeForAnEye 1 + Elimination 1",S,"brass_executioner",36,""
"violet_evasion_il8","violet","evasion-riposte",8,225.0,56.6,50.0,"Blade_Epic_MomentoMori + Blade_Rare_JaggedBlade + Hood_Epic_DuelistHood + Leather_Epic_EmbraceOfNight + Boots_Epic_ArmoredBoots + Ring_Agility + Ring_Speed + Accessory_Dexterity","Evasion 5 + SlipAway 5 + ByAThread 2 + EyeForAnEye 1 + Elimination 1",S+,"brass_executioner",36,""
"violet_evasion_il12","violet","evasion-riposte",12,225.0,72.6,62.0,"Blade_Epic_MomentoMori + Blade_Rare_JaggedBlade + Hood_Epic_DuelistHood + Leather_Epic_EmbraceOfNight + Boots_Epic_ArmoredBoots + Ring_Agility + Ring_Speed + Accessory_Dexterity","Evasion 5 + SlipAway 5 + ByAThread 2 + EyeForAnEye 1 + Elimination 1",S+,"brass_executioner",36,""
"violet_evasion_il15","violet","evasion-riposte",15,225.0,84.6,71.0,"Blade_Epic_MomentoMori + Blade_Rare_JaggedBlade + Hood_Epic_DuelistHood + Leather_Epic_EmbraceOfNight + Boots_Epic_ArmoredBoots + Ring_Agility + Ring_Speed + Accessory_Dexterity","Evasion 5 + SlipAway 5 + ByAThread 2 + EyeForAnEye 1 + Elimination 1",S+,"brass_executioner",36,""
"violet_poison_il1","violet","poison-execution",1,225.0,28.6,29.0,"Blade_Epic_MomentoMori + Blade_Rare_JaggedBlade + Hood_Epic_DuelistHood + Leather_Epic_EmbraceOfNight + Boots_Epic_ArmoredBoots + Ring_Agility + Ring_Speed + Accessory_Dexterity","PoisonedBlade 5 + EyeForAnEye 3 + Elimination 3 + CriticalHits 2 + SlipAway 1",B,"thousand_handed_guardian",36,""
"violet_poison_il4","violet","poison-execution",4,225.0,40.6,38.0,"Blade_Epic_MomentoMori + Blade_Rare_JaggedBlade + Hood_Epic_DuelistHood + Leather_Epic_EmbraceOfNight + Boots_Epic_ArmoredBoots + Ring_Agility + Ring_Speed + Accessory_Dexterity","PoisonedBlade 5 + EyeForAnEye 3 + Elimination 3 + CriticalHits 2 + SlipAway 1",S,"thousand_handed_guardian",36,""
"violet_poison_il8","violet","poison-execution",8,225.0,56.6,50.0,"Blade_Epic_MomentoMori + Blade_Rare_JaggedBlade + Hood_Epic_DuelistHood + Leather_Epic_EmbraceOfNight + Boots_Epic_ArmoredBoots + Ring_Agility + Ring_Speed + Accessory_Dexterity","PoisonedBlade 5 + EyeForAnEye 3 + Elimination 3 + CriticalHits 2 + SlipAway 1",S,"brass_executioner",36,""
"violet_poison_il12","violet","poison-execution",12,225.0,72.6,62.0,"Blade_Epic_MomentoMori + Blade_Rare_JaggedBlade + Hood_Epic_DuelistHood + Leather_Epic_EmbraceOfNight + Boots_Epic_ArmoredBoots + Ring_Agility + Ring_Speed + Accessory_Dexterity","PoisonedBlade 5 + EyeForAnEye 3 + Elimination 3 + CriticalHits 2 + SlipAway 1",S+,"brass_executioner",36,""
"violet_poison_il15","violet","poison-execution",15,225.0,84.6,71.0,"Blade_Epic_MomentoMori + Blade_Rare_JaggedBlade + Hood_Epic_DuelistHood + Leather_Epic_EmbraceOfNight + Boots_Epic_ArmoredBoots + Ring_Agility + Ring_Speed + Accessory_Dexterity","PoisonedBlade 5 + EyeForAnEye 3 + Elimination 3 + CriticalHits 2 + SlipAway 1",S+,"brass_executioner",36,""
"violet_smoke_crit_il1","violet","smoke-crit",1,225.0,20.5,20.0,"Blade_Epic_MomentoMori + Sword_Epic_BloodSword + Hood_Rare_DarkHood + Leather_Rare_ThickLeather + Boots_Rare_SwiftBoots + Ring_Fortune + Ring_Power + Accessory_Luck","EyeForAnEye 4 + Elimination 4 + CriticalHits 3 + PoisonedBlade 2 + Evasion 1",B,"thousand_handed_guardian",36,""
"violet_smoke_crit_il4","violet","smoke-crit",4,225.0,29.5,26.0,"Blade_Epic_MomentoMori + Sword_Epic_BloodSword + Hood_Rare_DarkHood + Leather_Rare_ThickLeather + Boots_Rare_SwiftBoots + Ring_Fortune + Ring_Power + Accessory_Luck","EyeForAnEye 4 + Elimination 4 + CriticalHits 3 + PoisonedBlade 2 + Evasion 1",S,"thousand_handed_guardian",36,""
"violet_smoke_crit_il8","violet","smoke-crit",8,225.0,41.5,34.0,"Blade_Epic_MomentoMori + Sword_Epic_BloodSword + Hood_Rare_DarkHood + Leather_Rare_ThickLeather + Boots_Rare_SwiftBoots + Ring_Fortune + Ring_Power + Accessory_Luck","EyeForAnEye 4 + Elimination 4 + CriticalHits 3 + PoisonedBlade 2 + Evasion 1",S,"brass_executioner",36,""
"violet_smoke_crit_il12","violet","smoke-crit",12,225.0,53.5,42.0,"Blade_Epic_MomentoMori + Sword_Epic_BloodSword + Hood_Rare_DarkHood + Leather_Rare_ThickLeather + Boots_Rare_SwiftBoots + Ring_Fortune + Ring_Power + Accessory_Luck","EyeForAnEye 4 + Elimination 4 + CriticalHits 3 + PoisonedBlade 2 + Evasion 1",S,"brass_executioner",36,""
"violet_smoke_crit_il15","violet","smoke-crit",15,225.0,62.5,48.0,"Blade_Epic_MomentoMori + Sword_Epic_BloodSword + Hood_Rare_DarkHood + Leather_Rare_ThickLeather + Boots_Rare_SwiftBoots + Ring_Fortune + Ring_Power + Accessory_Luck","EyeForAnEye 4 + Elimination 4 + CriticalHits 3 + PoisonedBlade 2 + Evasion 1",S+,"brass_executioner",36,""
"violet_day_and_night_il1","violet","paired-prototype",1,225.0,20.5,20.0,"Hood_Rare_DarkHood + Leather_Rare_ThickLeather + Boots_Rare_SwiftBoots + Ring_Fortune + Ring_Power + Accessory_Luck + Prototype_DayAndNight + Blade_Epic_MomentoMori","CriticalHits 4 + Elimination 4 + EyeForAnEye 3 + PoisonedBlade 2 + Evasion 1",B,"brass_executioner",36,""
"violet_day_and_night_il4","violet","paired-prototype",4,225.0,29.5,26.0,"Hood_Rare_DarkHood + Leather_Rare_ThickLeather + Boots_Rare_SwiftBoots + Ring_Fortune + Ring_Power + Accessory_Luck + Prototype_DayAndNight + Blade_Epic_MomentoMori","CriticalHits 4 + Elimination 4 + EyeForAnEye 3 + PoisonedBlade 2 + Evasion 1",S,"thousand_handed_guardian",36,""
"violet_day_and_night_il8","violet","paired-prototype",8,225.0,41.5,34.0,"Hood_Rare_DarkHood + Leather_Rare_ThickLeather + Boots_Rare_SwiftBoots + Ring_Fortune + Ring_Power + Accessory_Luck + Prototype_DayAndNight + Blade_Epic_MomentoMori","CriticalHits 4 + Elimination 4 + EyeForAnEye 3 + PoisonedBlade 2 + Evasion 1",S+,"brass_executioner",36,""
"violet_day_and_night_il12","violet","paired-prototype",12,225.0,53.5,42.0,"Hood_Rare_DarkHood + Leather_Rare_ThickLeather + Boots_Rare_SwiftBoots + Ring_Fortune + Ring_Power + Accessory_Luck + Prototype_DayAndNight + Blade_Epic_MomentoMori","CriticalHits 4 + Elimination 4 + EyeForAnEye 3 + PoisonedBlade 2 + Evasion 1",S+,"brass_executioner",36,""
"violet_day_and_night_il15","violet","paired-prototype",15,225.0,62.5,48.0,"Hood_Rare_DarkHood + Leather_Rare_ThickLeather + Boots_Rare_SwiftBoots + Ring_Fortune + Ring_Power + Accessory_Luck + Prototype_DayAndNight + Blade_Epic_MomentoMori","CriticalHits 4 + Elimination 4 + EyeForAnEye 3 + PoisonedBlade 2 + Evasion 1",S+,"brass_executioner",36,""
"violet_paranoia_il1","violet","cursed-evasion",1,225.0,28.6,29.0,"Hood_Epic_DuelistHood + Leather_Epic_EmbraceOfNight + Boots_Epic_ArmoredBoots + Ring_Agility + Ring_Speed + Accessory_Dexterity + Cursed_ParanoiaBlades","Evasion 5 + SlipAway 4 + ByAThread 2 + EyeForAnEye 2 + Elimination 1",B,"brass_executioner",36,""
"violet_paranoia_il4","violet","cursed-evasion",4,225.0,40.6,38.0,"Hood_Epic_DuelistHood + Leather_Epic_EmbraceOfNight + Boots_Epic_ArmoredBoots + Ring_Agility + Ring_Speed + Accessory_Dexterity + Cursed_ParanoiaBlades","Evasion 5 + SlipAway 4 + ByAThread 2 + EyeForAnEye 2 + Elimination 1",A,"brass_executioner",36,""
"violet_paranoia_il8","violet","cursed-evasion",8,225.0,56.6,50.0,"Hood_Epic_DuelistHood + Leather_Epic_EmbraceOfNight + Boots_Epic_ArmoredBoots + Ring_Agility + Ring_Speed + Accessory_Dexterity + Cursed_ParanoiaBlades","Evasion 5 + SlipAway 4 + ByAThread 2 + EyeForAnEye 2 + Elimination 1",S,"brass_executioner",36,""
