Build ID,Character,Style,Rank,Simulations,Milliseconds,Error
jennifer_weak,jennifer,weak,C,36,9,
jennifer_balanced,jennifer,balanced,B,36,2,
jennifer_defensive,jennifer,defensive,S+,36,2,
jennifer_burst,jennifer,burst,S,36,0,
jennifer_scaling,jennifer,scaling,S+,36,1,
violet_weak,violet,weak,C,36,0,
violet_balanced,violet,balanced,B,36,1,
violet_defensive,violet,defensive,S+,36,3,
violet_burst,violet,burst,S+,36,1,
violet_scaling,violet,scaling,S+,36,2,
sasha_weak,sasha,weak,C,36,0,
sasha_balanced,sasha,balanced,B,36,1,
sasha_defensive,sasha,defensive,S+,36,3,
sasha_burst,sasha,burst,S+,36,1,
sasha_scaling,sasha,scaling,S+,36,1,
